#           k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   1.0402551E-05   6.3777160E+06   6.3777160E+06   8.5025070E+06   9.7795502E+03   -1.6640495E+05   6.3778854E+06   6.3777160E+06   6.3202802E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1178663E-05   6.3777149E+06   6.3777149E+06   8.5023330E+06   9.7793974E+03   -1.6640425E+05   6.3778842E+06   6.3777149E+06   6.3202791E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.2012678E-05   6.3777137E+06   6.3777137E+06   8.5021322E+06   9.7792209E+03   -1.6640344E+05   6.3778829E+06   6.3777137E+06   6.3202777E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.2908918E-05   6.3777123E+06   6.3777123E+06   8.5019003E+06   9.7790170E+03   -1.6640250E+05   6.3778813E+06   6.3777123E+06   6.3202762E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3872024E-05   6.3777106E+06   6.3777106E+06   8.5016325E+06   9.7787817E+03   -1.6640142E+05   6.3778795E+06   6.3777106E+06   6.3202744E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4906986E-05   6.3777087E+06   6.3777087E+06   8.5013232E+06   9.7785099E+03   -1.6640017E+05   6.3778774E+06   6.3777087E+06   6.3202723E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.6019164E-05   6.3777064E+06   6.3777064E+06   8.5009661E+06   9.7781961E+03   -1.6639873E+05   6.3778750E+06   6.3777064E+06   6.3202700E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.7214319E-05   6.3777039E+06   6.3777039E+06   8.5005538E+06   9.7778337E+03   -1.6639707E+05   6.3778722E+06   6.3777039E+06   6.3202672E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.8498642E-05   6.3777009E+06   6.3777009E+06   8.5000776E+06   9.7774152E+03   -1.6639515E+05   6.3778690E+06   6.3777009E+06   6.3202640E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.9878785E-05   6.3776975E+06   6.3776975E+06   8.4995278E+06   9.7769320E+03   -1.6639293E+05   6.3778653E+06   6.3776975E+06   6.3202604E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.1361898E-05   6.3776936E+06   6.3776936E+06   8.4988930E+06   9.7763740E+03   -1.6639037E+05   6.3778611E+06   6.3776936E+06   6.3202561E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.2955663E-05   6.3776890E+06   6.3776890E+06   8.4981599E+06   9.7757297E+03   -1.6638741E+05   6.3778561E+06   6.3776890E+06   6.3202512E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.4668335E-05   6.3776837E+06   6.3776837E+06   8.4973134E+06   9.7749857E+03   -1.6638399E+05   6.3778504E+06   6.3776837E+06   6.3202456E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.6508786E-05   6.3776777E+06   6.3776777E+06   8.4963360E+06   9.7741266E+03   -1.6638005E+05   6.3778438E+06   6.3776777E+06   6.3202391E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.8486549E-05   6.3776706E+06   6.3776706E+06   8.4952074E+06   9.7731347E+03   -1.6637549E+05   6.3778362E+06   6.3776706E+06   6.3202316E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.0611869E-05   6.3776625E+06   6.3776625E+06   8.4939044E+06   9.7719893E+03   -1.6637022E+05   6.3778274E+06   6.3776625E+06   6.3202229E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.2895754E-05   6.3776532E+06   6.3776532E+06   8.4923999E+06   9.7706669E+03   -1.6636414E+05   6.3778173E+06   6.3776532E+06   6.3202128E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.5350035E-05   6.3776424E+06   6.3776424E+06   8.4906628E+06   9.7691399E+03   -1.6635711E+05   6.3778056E+06   6.3776424E+06   6.3202013E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.7987424E-05   6.3776299E+06   6.3776299E+06   8.4886573E+06   9.7673769E+03   -1.6634899E+05   6.3777920E+06   6.3776299E+06   6.3201879E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.0821583E-05   6.3776155E+06   6.3776155E+06   8.4863420E+06   9.7653414E+03   -1.6633961E+05   6.3777764E+06   6.3776155E+06   6.3201724E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.3867193E-05   6.3775988E+06   6.3775988E+06   8.4836691E+06   9.7629914E+03   -1.6632877E+05   6.3777584E+06   6.3775988E+06   6.3201546E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.7140029E-05   6.3775796E+06   6.3775796E+06   8.4805834E+06   9.7602783E+03   -1.6631625E+05   6.3777376E+06   6.3775796E+06   6.3201340E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.0657044E-05   6.3775574E+06   6.3775574E+06   8.4770214E+06   9.7571463E+03   -1.6630178E+05   6.3777135E+06   6.3775574E+06   6.3201102E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.4436456E-05   6.3775318E+06   6.3775318E+06   8.4729100E+06   9.7535306E+03   -1.6628506E+05   6.3776857E+06   6.3775318E+06   6.3200827E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.8497842E-05   6.3775023E+06   6.3775023E+06   8.4681645E+06   9.7493570E+03   -1.6626573E+05   6.3776537E+06   6.3775023E+06   6.3200510E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   6.2862239E-05   6.3774681E+06   6.3774681E+06   8.4626877E+06   9.7445396E+03   -1.6624338E+05   6.3776167E+06   6.3774681E+06   6.3200144E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   6.7552254E-05   6.3774287E+06   6.3774287E+06   8.4563674E+06   9.7389795E+03   -1.6621754E+05   6.3775739E+06   6.3774287E+06   6.3199721E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   7.2592181E-05   6.3773831E+06   6.3773831E+06   8.4490745E+06   9.7325627E+03   -1.6618765E+05   6.3775246E+06   6.3773831E+06   6.3199233E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   7.8008126E-05   6.3773306E+06   6.3773306E+06   8.4406603E+06   9.7251580E+03   -1.6615308E+05   6.3774676E+06   6.3773306E+06   6.3198670E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   8.3828143E-05   6.3772699E+06   6.3772699E+06   8.4309538E+06   9.7166140E+03   -1.6611309E+05   6.3774018E+06   6.3772699E+06   6.3198019E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   9.0082379E-05   6.3771998E+06   6.3771998E+06   8.4197582E+06   9.7067568E+03   -1.6606680E+05   6.3773259E+06   6.3771998E+06   6.3197268E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   9.6803230E-05   6.3771189E+06   6.3771189E+06   8.4068475E+06   9.6953863E+03   -1.6601321E+05   6.3772382E+06   6.3771189E+06   6.3196401E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.0402551E-04   6.3770256E+06   6.3770256E+06   8.3919622E+06   9.6822723E+03   -1.6595114E+05   6.3771370E+06   6.3770256E+06   6.3195399E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1178663E-04   6.3769178E+06   6.3769178E+06   8.3748045E+06   9.6671503E+03   -1.6587923E+05   6.3770202E+06   6.3769178E+06   6.3194244E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.2012678E-04   6.3767934E+06   6.3767934E+06   8.3550330E+06   9.6497169E+03   -1.6579586E+05   6.3768853E+06   6.3767934E+06   6.3192910E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.2908918E-04   6.3766498E+06   6.3766498E+06   8.3322571E+06   9.6296238E+03   -1.6569916E+05   6.3767297E+06   6.3766498E+06   6.3191371E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
