#           k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   9.7983911E-06   2.6394907E+06   2.6394907E+06   3.5191487E+06   2.0114015E+04   1.1526186E+04   2.6400858E+06   2.6394907E+06   2.6369643E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.0529428E-05   2.6394903E+06   2.6394903E+06   3.5191215E+06   2.0113918E+04   1.1526062E+04   2.6400854E+06   2.6394903E+06   2.6369639E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1315006E-05   2.6394898E+06   2.6394898E+06   3.5190900E+06   2.0113805E+04   1.1525919E+04   2.6400848E+06   2.6394898E+06   2.6369633E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.2159194E-05   2.6394892E+06   2.6394892E+06   3.5190537E+06   2.0113675E+04   1.1525754E+04   2.6400842E+06   2.6394892E+06   2.6369627E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3066365E-05   2.6394886E+06   2.6394886E+06   3.5190118E+06   2.0113525E+04   1.1525564E+04   2.6400835E+06   2.6394886E+06   2.6369620E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4041218E-05   2.6394878E+06   2.6394878E+06   3.5189634E+06   2.0113351E+04   1.1525344E+04   2.6400826E+06   2.6394878E+06   2.6369611E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.5088802E-05   2.6394870E+06   2.6394870E+06   3.5189075E+06   2.0113151E+04   1.1525090E+04   2.6400816E+06   2.6394870E+06   2.6369601E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.6214545E-05   2.6394860E+06   2.6394860E+06   3.5188429E+06   2.0112920E+04   1.1524797E+04   2.6400805E+06   2.6394860E+06   2.6369590E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.7424277E-05   2.6394848E+06   2.6394848E+06   3.5187684E+06   2.0112653E+04   1.1524458E+04   2.6400792E+06   2.6394848E+06   2.6369577E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.8724265E-05   2.6394835E+06   2.6394835E+06   3.5186823E+06   2.0112345E+04   1.1524067E+04   2.6400777E+06   2.6394835E+06   2.6369562E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.0121241E-05   2.6394819E+06   2.6394819E+06   3.5185829E+06   2.0111989E+04   1.1523616E+04   2.6400760E+06   2.6394819E+06   2.6369545E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.1622444E-05   2.6394801E+06   2.6394801E+06   3.5184681E+06   2.0111577E+04   1.1523094E+04   2.6400740E+06   2.6394801E+06   2.6369525E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.3235647E-05   2.6394781E+06   2.6394781E+06   3.5183356E+06   2.0111103E+04   1.1522492E+04   2.6400717E+06   2.6394781E+06   2.6369502E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.4969208E-05   2.6394757E+06   2.6394757E+06   3.5181825E+06   2.0110554E+04   1.1521797E+04   2.6400690E+06   2.6394757E+06   2.6369475E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.6832107E-05   2.6394730E+06   2.6394730E+06   3.5180058E+06   2.0109921E+04   1.1520995E+04   2.6400659E+06   2.6394730E+06   2.6369444E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.8833992E-05   2.6394698E+06   2.6394698E+06   3.5178017E+06   2.0109190E+04   1.1520068E+04   2.6400624E+06   2.6394698E+06   2.6369409E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.0985233E-05   2.6394661E+06   2.6394661E+06   3.5175661E+06   2.0108346E+04   1.1518998E+04   2.6400582E+06   2.6394661E+06   2.6369368E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.3296974E-05   2.6394619E+06   2.6394619E+06   3.5172939E+06   2.0107371E+04   1.1517762E+04   2.6400535E+06   2.6394619E+06   2.6369321E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.5781189E-05   2.6394570E+06   2.6394570E+06   3.5169797E+06   2.0106245E+04   1.1516336E+04   2.6400480E+06   2.6394570E+06   2.6369266E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.8450746E-05   2.6394514E+06   2.6394514E+06   3.5166169E+06   2.0104946E+04   1.1514688E+04   2.6400417E+06   2.6394514E+06   2.6369203E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.1319473E-05   2.6394449E+06   2.6394449E+06   3.5161980E+06   2.0103445E+04   1.1512787E+04   2.6400344E+06   2.6394449E+06   2.6369130E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.4402229E-05   2.6394374E+06   2.6394374E+06   3.5157143E+06   2.0101712E+04   1.1510591E+04   2.6400259E+06   2.6394374E+06   2.6369045E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.7714983E-05   2.6394287E+06   2.6394287E+06   3.5151558E+06   2.0099711E+04   1.1508056E+04   2.6400162E+06   2.6394287E+06   2.6368948E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.1274894E-05   2.6394187E+06   2.6394187E+06   3.5145109E+06   2.0097400E+04   1.1505130E+04   2.6400050E+06   2.6394187E+06   2.6368836E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.5100403E-05   2.6394071E+06   2.6394071E+06   3.5137664E+06   2.0094732E+04   1.1501752E+04   2.6399920E+06   2.6394071E+06   2.6368706E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.9211324E-05   2.6393938E+06   2.6393938E+06   3.5129068E+06   2.0091652E+04   1.1497853E+04   2.6399770E+06   2.6393938E+06   2.6368556E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   6.3628952E-05   2.6393784E+06   2.6393784E+06   3.5119144E+06   2.0088096E+04   1.1493353E+04   2.6399596E+06   2.6393784E+06   2.6368383E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   6.8376170E-05   2.6393606E+06   2.6393606E+06   3.5107687E+06   2.0083990E+04   1.1488158E+04   2.6399396E+06   2.6393606E+06   2.6368183E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   7.3477568E-05   2.6393400E+06   2.6393400E+06   3.5094462E+06   2.0079249E+04   1.1482164E+04   2.6399166E+06   2.6393400E+06   2.6367953E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   7.8959569E-05   2.6393162E+06   2.6393162E+06   3.5079195E+06   2.0073777E+04   1.1475247E+04   2.6398899E+06   2.6393162E+06   2.6367686E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   8.4850571E-05   2.6392888E+06   2.6392888E+06   3.5061572E+06   2.0067459E+04   1.1467265E+04   2.6398591E+06   2.6392888E+06   2.6367379E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   9.1181088E-05   2.6392572E+06   2.6392572E+06   3.5041232E+06   2.0060166E+04   1.1458058E+04   2.6398236E+06   2.6392572E+06   2.6367024E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   9.7983911E-05   2.6392206E+06   2.6392206E+06   3.5017757E+06   2.0051748E+04   1.1447437E+04   2.6397825E+06   2.6392206E+06   2.6366614E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.0529428E-04   2.6391784E+06   2.6391784E+06   3.4990667E+06   2.0042031E+04   1.1435188E+04   2.6397351E+06   2.6391784E+06   2.6366141E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1315006E-04   2.6391297E+06   2.6391297E+06   3.4959408E+06   2.0030817E+04   1.1421064E+04   2.6396804E+06   2.6391297E+06   2.6365594E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.2159194E-04   2.6390735E+06   2.6390735E+06   3.4923343E+06   2.0017875E+04   1.1404782E+04   2.6396173E+06   2.6390735E+06   2.6364964E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3066365E-04   2.6390086E+06   2.6390086E+06   3.4881738E+06   2.0002941E+04   1.1386018E+04   2.6395444E+06   2.6390086E+06   2.6364236E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4041218E-04   2.6389336E+06   2.6389336E+06   3.4833751E+06   1.9985711E+04   1.1364399E+04   2.6394602E+06   2.6389336E+06   2.6363395E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.5088802E-04   2.6388471E+06   2.6388471E+06   3.4778411E+06   1.9965833E+04   1.1339501E+04   2.6393631E+06   2.6388471E+06   2.6362425E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.6214545E-04   2.6387472E+06   2.6387472E+06   3.4714608E+06   1.9942905E+04   1.1310837E+04   2.6392510E+06   2.6387472E+06   2.6361305E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.7424277E-04   2.6386320E+06   2.6386320E+06   3.4641063E+06   1.9916463E+04   1.1277854E+04   2.6391216E+06   2.6386320E+06   2.6360013E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.8724265E-04   2.6384990E+06   2.6384990E+06   3.4556315E+06   1.9885975E+04   1.1239923E+04   2.6389723E+06   2.6384990E+06   2.6358521E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
