#           k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   1.1694415E-05   3.1861038E+06   3.1861038E+06   4.2477200E+06   2.0634717E+04   1.1583524E+05   3.1862209E+06   3.1861038E+06   3.0583094E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.2566910E-05   3.1861033E+06   3.1861033E+06   4.2476547E+06   2.0634589E+04   1.1583443E+05   3.1862203E+06   3.1861033E+06   3.0583089E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3504499E-05   3.1861028E+06   3.1861028E+06   4.2475792E+06   2.0634443E+04   1.1583350E+05   3.1862198E+06   3.1861028E+06   3.0583084E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4512041E-05   3.1861021E+06   3.1861021E+06   4.2474920E+06   2.0634273E+04   1.1583243E+05   3.1862191E+06   3.1861021E+06   3.0583077E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.5594753E-05   3.1861014E+06   3.1861014E+06   4.2473913E+06   2.0634077E+04   1.1583119E+05   3.1862183E+06   3.1861014E+06   3.0583069E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.6758243E-05   3.1861006E+06   3.1861006E+06   4.2472750E+06   2.0633851E+04   1.1582975E+05   3.1862174E+06   3.1861006E+06   3.0583060E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.8008539E-05   3.1860996E+06   3.1860996E+06   4.2471408E+06   2.0633589E+04   1.1582810E+05   3.1862163E+06   3.1860996E+06   3.0583050E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.9352117E-05   3.1860985E+06   3.1860985E+06   4.2469858E+06   2.0633288E+04   1.1582619E+05   3.1862151E+06   3.1860985E+06   3.0583038E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.0795937E-05   3.1860972E+06   3.1860972E+06   4.2468068E+06   2.0632939E+04   1.1582398E+05   3.1862137E+06   3.1860972E+06   3.0583025E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.2347477E-05   3.1860956E+06   3.1860956E+06   4.2466000E+06   2.0632537E+04   1.1582143E+05   3.1862121E+06   3.1860956E+06   3.0583009E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
