#           k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   1.1473134E-05   2.5598052E+06   2.5598052E+06   3.4128155E+06   7.4442309E+03   2.9346600E+04   2.5599506E+06   2.5598052E+06   2.5446332E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.2329119E-05   2.5598049E+06   2.5598049E+06   3.4127752E+06   7.4441780E+03   2.9346389E+04   2.5599503E+06   2.5598049E+06   2.5446329E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3248968E-05   2.5598046E+06   2.5598046E+06   3.4127286E+06   7.4441169E+03   2.9346146E+04   2.5599499E+06   2.5598046E+06   2.5446325E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4237445E-05   2.5598042E+06   2.5598042E+06   3.4126748E+06   7.4440464E+03   2.9345865E+04   2.5599495E+06   2.5598042E+06   2.5446321E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.5299670E-05   2.5598037E+06   2.5598037E+06   3.4126127E+06   7.4439649E+03   2.9345540E+04   2.5599490E+06   2.5598037E+06   2.5446315E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.6441145E-05   2.5598032E+06   2.5598032E+06   3.4125409E+06   7.4438708E+03   2.9345165E+04   2.5599484E+06   2.5598032E+06   2.5446310E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.7667783E-05   2.5598026E+06   2.5598026E+06   3.4124581E+06   7.4437621E+03   2.9344732E+04   2.5599477E+06   2.5598026E+06   2.5446303E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.8985938E-05   2.5598018E+06   2.5598018E+06   3.4123624E+06   7.4436367E+03   2.9344232E+04   2.5599469E+06   2.5598018E+06   2.5446295E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.0402437E-05   2.5598010E+06   2.5598010E+06   3.4122520E+06   7.4434918E+03   2.9343654E+04   2.5599460E+06   2.5598010E+06   2.5446286E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.1924619E-05   2.5598001E+06   2.5598001E+06   3.4121244E+06   7.4433245E+03   2.9342987E+04   2.5599450E+06   2.5598001E+06   2.5446276E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.3560367E-05   2.5597990E+06   2.5597990E+06   3.4119771E+06   7.4431313E+03   2.9342217E+04   2.5599438E+06   2.5597990E+06   2.5446264E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
