#           k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   1.1234809E-05   1.2092453E+07   1.2092453E+07   1.6117846E+07   2.6564784E+05   4.4194314E+06   1.2092479E+07   1.2092453E+07   8.0676147E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.2073014E-05   1.2092447E+07   1.2092447E+07   1.6117000E+07   2.6564410E+05   4.4193493E+06   1.2092474E+07   1.2092447E+07   8.0676108E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.2973755E-05   1.2092441E+07   1.2092441E+07   1.6116022E+07   2.6563978E+05   4.4192546E+06   1.2092467E+07   1.2092441E+07   8.0676064E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3941699E-05   1.2092433E+07   1.2092433E+07   1.6114893E+07   2.6563479E+05   4.4191451E+06   1.2092460E+07   1.2092433E+07   8.0676012E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4981859E-05   1.2092425E+07   1.2092425E+07   1.6113589E+07   2.6562903E+05   4.4190187E+06   1.2092451E+07   1.2092425E+07   8.0675952E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.6099623E-05   1.2092415E+07   1.2092415E+07   1.6112083E+07   2.6562238E+05   4.4188728E+06   1.2092441E+07   1.2092415E+07   8.0675884E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.7300781E-05   1.2092404E+07   1.2092404E+07   1.6110345E+07   2.6561469E+05   4.4187043E+06   1.2092429E+07   1.2092404E+07   8.0675804E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.8591555E-05   1.2092390E+07   1.2092390E+07   1.6108338E+07   2.6560582E+05   4.4185097E+06   1.2092416E+07   1.2092390E+07   8.0675712E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.9978630E-05   1.2092375E+07   1.2092375E+07   1.6106020E+07   2.6559558E+05   4.4182850E+06   1.2092400E+07   1.2092375E+07   8.0675606E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.1469192E-05   1.2092358E+07   1.2092358E+07   1.6103345E+07   2.6558375E+05   4.4180255E+06   1.2092382E+07   1.2092358E+07   8.0675484E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.3070962E-05   1.2092337E+07   1.2092337E+07   1.6100255E+07   2.6557009E+05   4.4177260E+06   1.2092362E+07   1.2092337E+07   8.0675342E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.4792237E-05   1.2092314E+07   1.2092314E+07   1.6096688E+07   2.6555431E+05   4.4173800E+06   1.2092338E+07   1.2092314E+07   8.0675179E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.6641931E-05   1.2092287E+07   1.2092287E+07   1.6092570E+07   2.6553610E+05   4.4169806E+06   1.2092310E+07   1.2092287E+07   8.0674991E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.8629628E-05   1.2092255E+07   1.2092255E+07   1.6087816E+07   2.6551507E+05   4.4165194E+06   1.2092278E+07   1.2092255E+07   8.0674773E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.0765622E-05   1.2092219E+07   1.2092219E+07   1.6082327E+07   2.6549079E+05   4.4159870E+06   1.2092242E+07   1.2092219E+07   8.0674522E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.3060979E-05   1.2092178E+07   1.2092178E+07   1.6075992E+07   2.6546275E+05   4.4153722E+06   1.2092199E+07   1.2092178E+07   8.0674231E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.5527587E-05   1.2092130E+07   1.2092130E+07   1.6068678E+07   2.6543039E+05   4.4146623E+06   1.2092150E+07   1.2092130E+07   8.0673896E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.8178223E-05   1.2092074E+07   1.2092074E+07   1.6060237E+07   2.6539301E+05   4.4138429E+06   1.2092094E+07   1.2092074E+07   8.0673510E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.1026617E-05   1.2092010E+07   1.2092010E+07   1.6050494E+07   2.6534986E+05   4.4128968E+06   1.2092029E+07   1.2092010E+07   8.0673063E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.4087524E-05   1.2091936E+07   1.2091936E+07   1.6039251E+07   2.6530005E+05   4.4118046E+06   1.2091953E+07   1.2091936E+07   8.0672547E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.7376798E-05   1.2091850E+07   1.2091850E+07   1.6026276E+07   2.6524254E+05   4.4105439E+06   1.2091866E+07   1.2091850E+07   8.0671952E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.0911478E-05   1.2091752E+07   1.2091752E+07   1.6011306E+07   2.6517615E+05   4.4090886E+06   1.2091766E+07   1.2091752E+07   8.0671265E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.4709873E-05   1.2091638E+07   1.2091638E+07   1.5994035E+07   2.6509952E+05   4.4074089E+06   1.2091650E+07   1.2091638E+07   8.0670471E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.8791658E-05   1.2091506E+07   1.2091506E+07   1.5974113E+07   2.6501106E+05   4.4054702E+06   1.2091516E+07   1.2091506E+07   8.0669555E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   6.3177976E-05   1.2091354E+07   1.2091354E+07   1.5951137E+07   2.6490897E+05   4.4032330E+06   1.2091361E+07   1.2091354E+07   8.0668498E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   6.7891547E-05   1.2091179E+07   1.2091179E+07   1.5924645E+07   2.6479114E+05   4.4006513E+06   1.2091183E+07   1.2091179E+07   8.0667278E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   7.2956788E-05   1.2090976E+07   1.2090976E+07   1.5894104E+07   2.6465517E+05   4.3976727E+06   1.2090977E+07   1.2090976E+07   8.0665870E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   7.8399936E-05   1.2090743E+07   1.2090743E+07   1.5858906E+07   2.6449827E+05   4.3942363E+06   1.2090739E+07   1.2090743E+07   8.0664245E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   8.4249185E-05   1.2090473E+07   1.2090473E+07   1.5818353E+07   2.6431725E+05   4.3902727E+06   1.2090465E+07   1.2090473E+07   8.0662370E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   9.0534833E-05   1.2090162E+07   1.2090162E+07   1.5771647E+07   2.6410844E+05   4.3857015E+06   1.2090149E+07   1.2090162E+07   8.0660206E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   9.7289441E-05   1.2089803E+07   1.2089803E+07   1.5717876E+07   2.6386760E+05   4.3804309E+06   1.2089784E+07   1.2089803E+07   8.0657710E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.0454799E-04   1.2089389E+07   1.2089389E+07   1.5656002E+07   2.6358986E+05   4.3743551E+06   1.2089362E+07   1.2089389E+07   8.0654832E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1234809E-04   1.2088912E+07   1.2088912E+07   1.5584841E+07   2.6326966E+05   4.3673532E+06   1.2088876E+07   1.2088912E+07   8.0651512E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.2073014E-04   1.2088361E+07   1.2088361E+07   1.5503051E+07   2.6290059E+05   4.3592864E+06   1.2088316E+07   1.2088361E+07   8.0647685E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.2973755E-04   1.2087727E+07   1.2087727E+07   1.5409116E+07   2.6247530E+05   4.3499962E+06   1.2087670E+07   1.2087727E+07   8.0643273E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3941699E-04   1.2086995E+07   1.2086995E+07   1.5301321E+07   2.6198541E+05   4.3393016E+06   1.2086925E+07   1.2086995E+07   8.0638189E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4981859E-04   1.2086151E+07   1.2086151E+07   1.5177743E+07   2.6142132E+05   4.3269960E+06   1.2086067E+07   1.2086151E+07   8.0632333E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.6099623E-04   1.2085180E+07   1.2085180E+07   1.5036232E+07   2.6077207E+05   4.3128449E+06   1.2085079E+07   1.2085180E+07   8.0625589E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.7300781E-04   1.2084061E+07   1.2084061E+07   1.4874398E+07   2.6002518E+05   4.2965817E+06   1.2083940E+07   1.2084061E+07   8.0617826E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.8591555E-04   1.2082773E+07   1.2082773E+07   1.4689602E+07   2.5916650E+05   4.2779052E+06   1.2082629E+07   1.2082773E+07   8.0608895E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.9978630E-04   1.2081291E+07   1.2081291E+07   1.4478958E+07   2.5817994E+05   4.2564757E+06   1.2081121E+07   1.2081291E+07   8.0598626E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.1469192E-04   1.2079587E+07   1.2079587E+07   1.4239339E+07   2.5704736E+05   4.2319114E+06   1.2079387E+07   1.2079587E+07   8.0586827E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.3070962E-04   1.2077629E+07   1.2077629E+07   1.3967400E+07   2.5574831E+05   4.2037860E+06   1.2077394E+07   1.2077629E+07   8.0573278E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.4792237E-04   1.2075381E+07   1.2075381E+07   1.3659627E+07   2.5425990E+05   4.1716254E+06   1.2075106E+07   1.2075381E+07   8.0557736E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
