#           k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   1.0866510E-05   1.3523643E+07   1.3523643E+07   1.8022473E+07   -1.5916699E+06   -7.1276384E+07   1.3523649E+07   1.3523643E+07   7.0337326E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1677236E-05   1.3523660E+07   1.3523660E+07   1.8021096E+07   -1.5916472E+06   -7.1275153E+07   1.3523666E+07   1.3523660E+07   7.0337378E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.2548449E-05   1.3523681E+07   1.3523681E+07   1.8019506E+07   -1.5916209E+06   -7.1273732E+07   1.3523687E+07   1.3523681E+07   7.0337437E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3484662E-05   1.3523704E+07   1.3523704E+07   1.8017670E+07   -1.5915905E+06   -7.1272091E+07   1.3523710E+07   1.3523704E+07   7.0337506E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4490723E-05   1.3523731E+07   1.3523731E+07   1.8015550E+07   -1.5915554E+06   -7.1270196E+07   1.3523737E+07   1.3523731E+07   7.0337586E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.5571845E-05   1.3523762E+07   1.3523762E+07   1.8013102E+07   -1.5915149E+06   -7.1268008E+07   1.3523768E+07   1.3523762E+07   7.0337678E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.6733626E-05   1.3523798E+07   1.3523798E+07   1.8010275E+07   -1.5914682E+06   -7.1265481E+07   1.3523804E+07   1.3523798E+07   7.0337784E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.7982086E-05   1.3523840E+07   1.3523840E+07   1.8007012E+07   -1.5914142E+06   -7.1262564E+07   1.3523845E+07   1.3523840E+07   7.0337906E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.9323690E-05   1.3523888E+07   1.3523888E+07   1.8003244E+07   -1.5913518E+06   -7.1259194E+07   1.3523893E+07   1.3523888E+07   7.0338048E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.0765389E-05   1.3523943E+07   1.3523943E+07   1.7998894E+07   -1.5912798E+06   -7.1255304E+07   1.3523948E+07   1.3523943E+07   7.0338211E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.2314649E-05   1.3524008E+07   1.3524008E+07   1.7993871E+07   -1.5911967E+06   -7.1250812E+07   1.3524012E+07   1.3524008E+07   7.0338400E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
