#           k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   1.1439457E-05   1.1864826E+07   1.1864826E+07   1.5812746E+07   -5.5703682E+05   -2.3144622E+07   1.1864833E+07   1.1864826E+07   7.2118758E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.2292930E-05   1.1864831E+07   1.1864831E+07   1.5811666E+07   -5.5702918E+05   -2.3144217E+07   1.1864838E+07   1.1864831E+07   7.2118782E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3210079E-05   1.1864837E+07   1.1864837E+07   1.5810420E+07   -5.5702036E+05   -2.3143749E+07   1.1864845E+07   1.1864837E+07   7.2118810E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4195654E-05   1.1864844E+07   1.1864844E+07   1.5808981E+07   -5.5701017E+05   -2.3143209E+07   1.1864852E+07   1.1864844E+07   7.2118842E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.5254761E-05   1.1864853E+07   1.1864853E+07   1.5807319E+07   -5.5699841E+05   -2.3142585E+07   1.1864860E+07   1.1864853E+07   7.2118880E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.6392886E-05   1.1864862E+07   1.1864862E+07   1.5805401E+07   -5.5698483E+05   -2.3141865E+07   1.1864870E+07   1.1864862E+07   7.2118922E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.7615924E-05   1.1864874E+07   1.1864874E+07   1.5803185E+07   -5.5696915E+05   -2.3141033E+07   1.1864881E+07   1.1864874E+07   7.2118972E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.8930209E-05   1.1864886E+07   1.1864886E+07   1.5800627E+07   -5.5695103E+05   -2.3140073E+07   1.1864893E+07   1.1864886E+07   7.2119029E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.0342551E-05   1.1864901E+07   1.1864901E+07   1.5797674E+07   -5.5693012E+05   -2.3138964E+07   1.1864908E+07   1.1864901E+07   7.2119095E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.1860265E-05   1.1864918E+07   1.1864918E+07   1.5794264E+07   -5.5690597E+05   -2.3137683E+07   1.1864925E+07   1.1864918E+07   7.2119171E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.3491212E-05   1.1864938E+07   1.1864938E+07   1.5790327E+07   -5.5687809E+05   -2.3136205E+07   1.1864944E+07   1.1864938E+07   7.2119259E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.5243840E-05   1.1864961E+07   1.1864961E+07   1.5785782E+07   -5.5684589E+05   -2.3134497E+07   1.1864967E+07   1.1864961E+07   7.2119361E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.7127228E-05   1.1864987E+07   1.1864987E+07   1.5780535E+07   -5.5680871E+05   -2.3132526E+07   1.1864993E+07   1.1864987E+07   7.2119478E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
