#           k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   1.1177758E-05   1.0303173E+07   1.0303173E+07   1.3732895E+07   -1.9496189E+05   -1.0678884E+07   1.0303191E+07   1.0303173E+07   8.3932066E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.2011707E-05   1.0303173E+07   1.0303173E+07   1.3732173E+07   -1.9495992E+05   -1.0678735E+07   1.0303192E+07   1.0303173E+07   8.3932070E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.2907874E-05   1.0303174E+07   1.0303174E+07   1.3731339E+07   -1.9495765E+05   -1.0678564E+07   1.0303193E+07   1.0303174E+07   8.3932074E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3870902E-05   1.0303175E+07   1.0303175E+07   1.3730377E+07   -1.9495503E+05   -1.0678365E+07   1.0303193E+07   1.0303175E+07   8.3932079E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4905780E-05   1.0303176E+07   1.0303176E+07   1.3729265E+07   -1.9495200E+05   -1.0678136E+07   1.0303194E+07   1.0303176E+07   8.3932085E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.6017868E-05   1.0303177E+07   1.0303177E+07   1.3727982E+07   -1.9494851E+05   -1.0677872E+07   1.0303195E+07   1.0303177E+07   8.3932092E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.7212926E-05   1.0303178E+07   1.0303178E+07   1.3726501E+07   -1.9494447E+05   -1.0677567E+07   1.0303196E+07   1.0303178E+07   8.3932099E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.8497146E-05   1.0303179E+07   1.0303179E+07   1.3724790E+07   -1.9493981E+05   -1.0677215E+07   1.0303197E+07   1.0303179E+07   8.3932108E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.9877177E-05   1.0303181E+07   1.0303181E+07   1.3722814E+07   -1.9493442E+05   -1.0676808E+07   1.0303198E+07   1.0303181E+07   8.3932119E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.1360170E-05   1.0303183E+07   1.0303183E+07   1.3720533E+07   -1.9492821E+05   -1.0676338E+07   1.0303200E+07   1.0303183E+07   8.3932131E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.2953806E-05   1.0303185E+07   1.0303185E+07   1.3717900E+07   -1.9492103E+05   -1.0675795E+07   1.0303202E+07   1.0303185E+07   8.3932144E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.4666340E-05   1.0303187E+07   1.0303187E+07   1.3714860E+07   -1.9491274E+05   -1.0675168E+07   1.0303204E+07   1.0303187E+07   8.3932160E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.6506642E-05   1.0303190E+07   1.0303190E+07   1.3711349E+07   -1.9490316E+05   -1.0674445E+07   1.0303207E+07   1.0303190E+07   8.3932179E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.8484245E-05   1.0303193E+07   1.0303193E+07   1.3707297E+07   -1.9489211E+05   -1.0673610E+07   1.0303209E+07   1.0303193E+07   8.3932200E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.0609393E-05   1.0303197E+07   1.0303197E+07   1.3702618E+07   -1.9487935E+05   -1.0672645E+07   1.0303213E+07   1.0303197E+07   8.3932224E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.2893093E-05   1.0303201E+07   1.0303201E+07   1.3697218E+07   -1.9486461E+05   -1.0671531E+07   1.0303216E+07   1.0303201E+07   8.3932253E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.5347175E-05   1.0303206E+07   1.0303206E+07   1.3690984E+07   -1.9484759E+05   -1.0670246E+07   1.0303221E+07   1.0303206E+07   8.3932285E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.7984351E-05   1.0303212E+07   1.0303212E+07   1.3683788E+07   -1.9482795E+05   -1.0668761E+07   1.0303226E+07   1.0303212E+07   8.3932323E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.0818281E-05   1.0303218E+07   1.0303218E+07   1.3675483E+07   -1.9480526E+05   -1.0667047E+07   1.0303232E+07   1.0303218E+07   8.3932366E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.3863644E-05   1.0303226E+07   1.0303226E+07   1.3665898E+07   -1.9477907E+05   -1.0665068E+07   1.0303238E+07   1.0303226E+07   8.3932416E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.7136216E-05   1.0303235E+07   1.0303235E+07   1.3654838E+07   -1.9474883E+05   -1.0662783E+07   1.0303246E+07   1.0303235E+07   8.3932474E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.0652946E-05   1.0303245E+07   1.0303245E+07   1.3642077E+07   -1.9471391E+05   -1.0660146E+07   1.0303255E+07   1.0303245E+07   8.3932541E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.4432053E-05   1.0303256E+07   1.0303256E+07   1.3627354E+07   -1.9467360E+05   -1.0657101E+07   1.0303265E+07   1.0303256E+07   8.3932618E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.8493110E-05   1.0303270E+07   1.0303270E+07   1.3610371E+07   -1.9462707E+05   -1.0653587E+07   1.0303277E+07   1.0303270E+07   8.3932707E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   6.2857154E-05   1.0303286E+07   1.0303286E+07   1.3590784E+07   -1.9457335E+05   -1.0649530E+07   1.0303291E+07   1.0303286E+07   8.3932809E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   6.7546790E-05   1.0303304E+07   1.0303304E+07   1.3568198E+07   -1.9451134E+05   -1.0644849E+07   1.0303307E+07   1.0303304E+07   8.3932927E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   7.2586309E-05   1.0303324E+07   1.0303324E+07   1.3542161E+07   -1.9443976E+05   -1.0639446E+07   1.0303325E+07   1.0303324E+07   8.3933064E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   7.8001816E-05   1.0303348E+07   1.0303348E+07   1.3512152E+07   -1.9435714E+05   -1.0633211E+07   1.0303346E+07   1.0303348E+07   8.3933221E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   8.3821362E-05   1.0303376E+07   1.0303376E+07   1.3477576E+07   -1.9426180E+05   -1.0626018E+07   1.0303371E+07   1.0303376E+07   8.3933401E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
