#           k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   1.1034883E-05   1.3668912E+07   1.3668912E+07   1.8219161E+07   -6.0326673E+03   -3.2317688E+05   1.3668950E+07   1.3668912E+07   1.0008135E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1858172E-05   1.3668910E+07   1.3668910E+07   1.8218220E+07   -6.0328137E+03   -3.2317119E+05   1.3668947E+07   1.3668910E+07   1.0008133E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.2742884E-05   1.3668907E+07   1.3668907E+07   1.8217135E+07   -6.0329828E+03   -3.2316462E+05   1.3668944E+07   1.3668907E+07   1.0008131E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3693603E-05   1.3668904E+07   1.3668904E+07   1.8215881E+07   -6.0331780E+03   -3.2315703E+05   1.3668941E+07   1.3668904E+07   1.0008128E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4715253E-05   1.3668900E+07   1.3668900E+07   1.8214433E+07   -6.0334034E+03   -3.2314827E+05   1.3668937E+07   1.3668900E+07   1.0008126E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.5813126E-05   1.3668896E+07   1.3668896E+07   1.8212762E+07   -6.0336637E+03   -3.2313815E+05   1.3668933E+07   1.3668896E+07   1.0008122E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.6992909E-05   1.3668891E+07   1.3668891E+07   1.8210831E+07   -6.0339642E+03   -3.2312647E+05   1.3668928E+07   1.3668891E+07   1.0008119E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.8260713E-05   1.3668885E+07   1.3668885E+07   1.8208603E+07   -6.0343112E+03   -3.2311297E+05   1.3668922E+07   1.3668885E+07   1.0008114E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.9623105E-05   1.3668879E+07   1.3668879E+07   1.8206029E+07   -6.0347118E+03   -3.2309740E+05   1.3668915E+07   1.3668879E+07   1.0008109E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.1087143E-05   1.3668871E+07   1.3668871E+07   1.8203058E+07   -6.0351743E+03   -3.2307941E+05   1.3668907E+07   1.3668871E+07   1.0008103E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.2660409E-05   1.3668863E+07   1.3668863E+07   1.8199627E+07   -6.0357083E+03   -3.2305863E+05   1.3668898E+07   1.3668863E+07   1.0008097E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.4351053E-05   1.3668853E+07   1.3668853E+07   1.8195667E+07   -6.0363248E+03   -3.2303465E+05   1.3668887E+07   1.3668853E+07   1.0008089E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.6167832E-05   1.3668841E+07   1.3668841E+07   1.8191094E+07   -6.0370365E+03   -3.2300695E+05   1.3668875E+07   1.3668841E+07   1.0008080E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.8120157E-05   1.3668828E+07   1.3668828E+07   1.8185815E+07   -6.0378581E+03   -3.2297496E+05   1.3668861E+07   1.3668828E+07   1.0008070E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.0218141E-05   1.3668812E+07   1.3668812E+07   1.8179720E+07   -6.0388065E+03   -3.2293803E+05   1.3668845E+07   1.3668812E+07   1.0008058E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.2472650E-05   1.3668795E+07   1.3668795E+07   1.8172684E+07   -6.0399012E+03   -3.2289539E+05   1.3668826E+07   1.3668795E+07   1.0008044E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.4895364E-05   1.3668774E+07   1.3668774E+07   1.8164563E+07   -6.0411646E+03   -3.2284615E+05   1.3668804E+07   1.3668774E+07   1.0008028E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.7498832E-05   1.3668750E+07   1.3668750E+07   1.8155189E+07   -6.0426227E+03   -3.2278929E+05   1.3668779E+07   1.3668750E+07   1.0008010E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.0296538E-05   1.3668723E+07   1.3668723E+07   1.8144370E+07   -6.0443052E+03   -3.2272364E+05   1.3668750E+07   1.3668723E+07   1.0007989E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.3302975E-05   1.3668691E+07   1.3668691E+07   1.8131884E+07   -6.0462466E+03   -3.2264785E+05   1.3668717E+07   1.3668691E+07   1.0007964E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.6533716E-05   1.3668654E+07   1.3668654E+07   1.8117475E+07   -6.0484863E+03   -3.2256034E+05   1.3668678E+07   1.3668654E+07   1.0007936E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.0005496E-05   1.3668612E+07   1.3668612E+07   1.8100849E+07   -6.0510699E+03   -3.2245930E+05   1.3668634E+07   1.3668612E+07   1.0007903E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.3736297E-05   1.3668563E+07   1.3668563E+07   1.8081669E+07   -6.0540495E+03   -3.2234265E+05   1.3668582E+07   1.3668563E+07   1.0007866E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.7745446E-05   1.3668507E+07   1.3668507E+07   1.8059543E+07   -6.0574853E+03   -3.2220798E+05   1.3668523E+07   1.3668507E+07   1.0007822E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   6.2053708E-05   1.3668442E+07   1.3668442E+07   1.8034025E+07   -6.0614462E+03   -3.2205252E+05   1.3668454E+07   1.3668442E+07   1.0007772E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   6.6683400E-05   1.3668367E+07   1.3668367E+07   1.8004600E+07   -6.0660111E+03   -3.2187306E+05   1.3668375E+07   1.3668367E+07   1.0007714E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   7.1658504E-05   1.3668280E+07   1.3668280E+07   1.7970677E+07   -6.0712707E+03   -3.2166592E+05   1.3668284E+07   1.3668280E+07   1.0007647E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
