#           k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   9.4827041E-06   1.1072369E+07   1.1072369E+07   1.4760234E+07   6.9225842E+04   6.5525839E+05   1.1072571E+07   1.1072369E+07   9.6684240E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.0190188E-05   1.1072366E+07   1.1072366E+07   1.4759777E+07   6.9225032E+04   6.5525103E+05   1.1072567E+07   1.1072366E+07   9.6684210E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.0950456E-05   1.1072362E+07   1.1072362E+07   1.4759249E+07   6.9224097E+04   6.5524253E+05   1.1072563E+07   1.1072362E+07   9.6684175E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1767446E-05   1.1072358E+07   1.1072358E+07   1.4758640E+07   6.9223018E+04   6.5523271E+05   1.1072559E+07   1.1072358E+07   9.6684135E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.2645389E-05   1.1072353E+07   1.1072353E+07   1.4757936E+07   6.9221772E+04   6.5522138E+05   1.1072554E+07   1.1072353E+07   9.6684089E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3588834E-05   1.1072347E+07   1.1072347E+07   1.4757124E+07   6.9220332E+04   6.5520829E+05   1.1072547E+07   1.1072347E+07   9.6684036E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4602668E-05   1.1072341E+07   1.1072341E+07   1.4756186E+07   6.9218670E+04   6.5519317E+05   1.1072541E+07   1.1072341E+07   9.6683974E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.5692141E-05   1.1072333E+07   1.1072333E+07   1.4755102E+07   6.9216751E+04   6.5517572E+05   1.1072532E+07   1.1072333E+07   9.6683903E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.6862898E-05   1.1072324E+07   1.1072324E+07   1.4753852E+07   6.9214535E+04   6.5515556E+05   1.1072523E+07   1.1072324E+07   9.6683821E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.8121002E-05   1.1072314E+07   1.1072314E+07   1.4752407E+07   6.9211976E+04   6.5513229E+05   1.1072512E+07   1.1072314E+07   9.6683726E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
