#           k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   1.0538051E-05   5.8276204E+06   5.8276204E+06   7.7691047E+06   1.1242382E+04   6.1095637E+04   5.8277622E+06   5.8276204E+06   5.6738699E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1324272E-05   5.8276194E+06   5.8276194E+06   7.7689400E+06   1.1242235E+04   6.1095102E+04   5.8277611E+06   5.8276194E+06   5.6738689E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.2169152E-05   5.8276183E+06   5.8276183E+06   7.7687498E+06   1.1242064E+04   6.1094483E+04   5.8277599E+06   5.8276183E+06   5.6738677E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3077066E-05   5.8276170E+06   5.8276170E+06   7.7685302E+06   1.1241867E+04   6.1093768E+04   5.8277585E+06   5.8276170E+06   5.6738663E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4052717E-05   5.8276155E+06   5.8276155E+06   7.7682766E+06   1.1241639E+04   6.1092943E+04   5.8277569E+06   5.8276155E+06   5.6738648E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.5101160E-05   5.8276138E+06   5.8276138E+06   7.7679837E+06   1.1241377E+04   6.1091991E+04   5.8277551E+06   5.8276138E+06   5.6738629E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.6227825E-05   5.8276118E+06   5.8276118E+06   7.7676456E+06   1.1241073E+04   6.1090891E+04   5.8277529E+06   5.8276118E+06   5.6738609E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.7438547E-05   5.8276095E+06   5.8276095E+06   7.7672551E+06   1.1240723E+04   6.1089620E+04   5.8277504E+06   5.8276095E+06   5.6738584E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.8739600E-05   5.8276068E+06   5.8276068E+06   7.7668042E+06   1.1240318E+04   6.1088154E+04   5.8277476E+06   5.8276068E+06   5.6738557E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.0137720E-05   5.8276038E+06   5.8276038E+06   7.7662835E+06   1.1239851E+04   6.1086460E+04   5.8277443E+06   5.8276038E+06   5.6738524E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.1640152E-05   5.8276003E+06   5.8276003E+06   7.7656823E+06   1.1239311E+04   6.1084505E+04   5.8277404E+06   5.8276003E+06   5.6738487E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.3254677E-05   5.8275962E+06   5.8275962E+06   7.7649881E+06   1.1238688E+04   6.1082247E+04   5.8277360E+06   5.8275962E+06   5.6738444E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.4989658E-05   5.8275915E+06   5.8275915E+06   7.7641866E+06   1.1237969E+04   6.1079640E+04   5.8277309E+06   5.8275915E+06   5.6738395E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.6854082E-05   5.8275860E+06   5.8275860E+06   7.7632610E+06   1.1237138E+04   6.1076630E+04   5.8277251E+06   5.8275860E+06   5.6738337E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
