#           k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   1.0538051E-05   3.3429924E+06   3.3429924E+06   4.4569777E+06   1.2038749E+04   3.1389150E+04   3.3432404E+06   3.3429924E+06   3.3264008E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1324272E-05   3.3429919E+06   3.3429919E+06   4.4569235E+06   1.2038659E+04   3.1388867E+04   3.3432399E+06   3.3429919E+06   3.3264002E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.2169152E-05   3.3429914E+06   3.3429914E+06   4.4568610E+06   1.2038555E+04   3.1388541E+04   3.3432392E+06   3.3429914E+06   3.3263996E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3077066E-05   3.3429907E+06   3.3429907E+06   4.4567888E+06   1.2038434E+04   3.1388164E+04   3.3432385E+06   3.3429907E+06   3.3263989E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4052717E-05   3.3429900E+06   3.3429900E+06   4.4567054E+06   1.2038295E+04   3.1387728E+04   3.3432377E+06   3.3429900E+06   3.3263981E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.5101160E-05   3.3429891E+06   3.3429891E+06   4.4566091E+06   1.2038135E+04   3.1387225E+04   3.3432367E+06   3.3429891E+06   3.3263971E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.6227825E-05   3.3429881E+06   3.3429881E+06   4.4564980E+06   1.2037949E+04   3.1386645E+04   3.3432356E+06   3.3429881E+06   3.3263960E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.7438547E-05   3.3429869E+06   3.3429869E+06   4.4563696E+06   1.2037735E+04   3.1385974E+04   3.3432343E+06   3.3429869E+06   3.3263947E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.8739600E-05   3.3429856E+06   3.3429856E+06   4.4562213E+06   1.2037488E+04   3.1385200E+04   3.3432328E+06   3.3429856E+06   3.3263932E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.0137720E-05   3.3429840E+06   3.3429840E+06   4.4560502E+06   1.2037202E+04   3.1384306E+04   3.3432311E+06   3.3429840E+06   3.3263915E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.1640152E-05   3.3429822E+06   3.3429822E+06   4.4558525E+06   1.2036873E+04   3.1383274E+04   3.3432292E+06   3.3429822E+06   3.3263896E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.3254677E-05   3.3429801E+06   3.3429801E+06   4.4556242E+06   1.2036492E+04   3.1382082E+04   3.3432269E+06   3.3429801E+06   3.3263873E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.4989658E-05   3.3429777E+06   3.3429777E+06   4.4553606E+06   1.2036052E+04   3.1380706E+04   3.3432242E+06   3.3429777E+06   3.3263847E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.6854082E-05   3.3429750E+06   3.3429750E+06   4.4550563E+06   1.2035545E+04   3.1379116E+04   3.3432212E+06   3.3429750E+06   3.3263816E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
