#           k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   1.1284645E-05   1.4018958E+07   1.4018958E+07   1.8685170E+07   -1.5233283E+05   -5.1468222E+06   1.4018986E+07   1.4018958E+07   1.0159006E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.2126568E-05   1.4018957E+07   1.4018957E+07   1.8684121E+07   -1.5233116E+05   -5.1467373E+06   1.4018985E+07   1.4018957E+07   1.0159006E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3031305E-05   1.4018957E+07   1.4018957E+07   1.8682909E+07   -1.5232922E+05   -5.1466392E+06   1.4018984E+07   1.4018957E+07   1.0159005E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4003542E-05   1.4018956E+07   1.4018956E+07   1.8681511E+07   -1.5232699E+05   -5.1465260E+06   1.4018983E+07   1.4018956E+07   1.0159004E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.5048316E-05   1.4018955E+07   1.4018955E+07   1.8679895E+07   -1.5232441E+05   -5.1463952E+06   1.4018982E+07   1.4018955E+07   1.0159004E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.6171038E-05   1.4018954E+07   1.4018954E+07   1.8678030E+07   -1.5232143E+05   -5.1462442E+06   1.4018981E+07   1.4018954E+07   1.0159003E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.7377524E-05   1.4018953E+07   1.4018953E+07   1.8675877E+07   -1.5231799E+05   -5.1460698E+06   1.4018980E+07   1.4018953E+07   1.0159001E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.8674024E-05   1.4018951E+07   1.4018951E+07   1.8673390E+07   -1.5231402E+05   -5.1458685E+06   1.4018978E+07   1.4018951E+07   1.0159000E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.0067252E-05   1.4018950E+07   1.4018950E+07   1.8670519E+07   -1.5230943E+05   -5.1456360E+06   1.4018976E+07   1.4018950E+07   1.0158999E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.1564426E-05   1.4018948E+07   1.4018948E+07   1.8667205E+07   -1.5230414E+05   -5.1453675E+06   1.4018974E+07   1.4018948E+07   1.0158997E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.3173301E-05   1.4018946E+07   1.4018946E+07   1.8663377E+07   -1.5229802E+05   -5.1450575E+06   1.4018971E+07   1.4018946E+07   1.0158995E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.4902211E-05   1.4018943E+07   1.4018943E+07   1.8658959E+07   -1.5229096E+05   -5.1446995E+06   1.4018968E+07   1.4018943E+07   1.0158992E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.6760111E-05   1.4018940E+07   1.4018940E+07   1.8653857E+07   -1.5228280E+05   -5.1442862E+06   1.4018965E+07   1.4018940E+07   1.0158990E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.8756625E-05   1.4018937E+07   1.4018937E+07   1.8647968E+07   -1.5227339E+05   -5.1438089E+06   1.4018961E+07   1.4018937E+07   1.0158987E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
