#           k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   1.0877092E-05   1.8488074E+07   1.8488074E+07   2.4640162E+07   -9.8571274E+04   -2.6675038E+06   1.8488096E+07   1.8488074E+07   9.7491938E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1688609E-05   1.8488072E+07   1.8488072E+07   2.4638518E+07   -9.8570147E+04   -2.6674514E+06   1.8488093E+07   1.8488072E+07   9.7491924E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.2560670E-05   1.8488069E+07   1.8488069E+07   2.4636619E+07   -9.8568847E+04   -2.6673908E+06   1.8488091E+07   1.8488069E+07   9.7491907E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3497795E-05   1.8488066E+07   1.8488066E+07   2.4634427E+07   -9.8567344E+04   -2.6673208E+06   1.8488087E+07   1.8488066E+07   9.7491888E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4504836E-05   1.8488062E+07   1.8488062E+07   2.4631896E+07   -9.8565610E+04   -2.6672401E+06   1.8488083E+07   1.8488062E+07   9.7491865E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.5587010E-05   1.8488058E+07   1.8488058E+07   2.4628973E+07   -9.8563607E+04   -2.6671468E+06   1.8488079E+07   1.8488058E+07   9.7491840E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.6749923E-05   1.8488053E+07   1.8488053E+07   2.4625599E+07   -9.8561293E+04   -2.6670391E+06   1.8488073E+07   1.8488053E+07   9.7491810E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.7999598E-05   1.8488048E+07   1.8488048E+07   2.4621702E+07   -9.8558622E+04   -2.6669147E+06   1.8488067E+07   1.8488048E+07   9.7491776E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.9342509E-05   1.8488041E+07   1.8488041E+07   2.4617203E+07   -9.8555538E+04   -2.6667711E+06   1.8488060E+07   1.8488041E+07   9.7491736E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.0785612E-05   1.8488034E+07   1.8488034E+07   2.4612009E+07   -9.8551976E+04   -2.6666053E+06   1.8488052E+07   1.8488034E+07   9.7491690E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.2336381E-05   1.8488025E+07   1.8488025E+07   2.4606012E+07   -9.8547863E+04   -2.6664138E+06   1.8488043E+07   1.8488025E+07   9.7491637E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.4002850E-05   1.8488015E+07   1.8488015E+07   2.4599089E+07   -9.8543113E+04   -2.6661927E+06   1.8488032E+07   1.8488015E+07   9.7491576E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.5793651E-05   1.8488003E+07   1.8488003E+07   2.4591096E+07   -9.8537628E+04   -2.6659374E+06   1.8488020E+07   1.8488003E+07   9.7491506E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.7718059E-05   1.8487990E+07   1.8487990E+07   2.4581869E+07   -9.8531295E+04   -2.6656426E+06   1.8488006E+07   1.8487990E+07   9.7491425E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.9786043E-05   1.8487975E+07   1.8487975E+07   2.4571218E+07   -9.8523982E+04   -2.6653023E+06   1.8487989E+07   1.8487975E+07   9.7491331E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.2008315E-05   1.8487957E+07   1.8487957E+07   2.4558924E+07   -9.8515537E+04   -2.6649093E+06   1.8487970E+07   1.8487957E+07   9.7491222E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.4396386E-05   1.8487936E+07   1.8487936E+07   2.4544734E+07   -9.8505786E+04   -2.6644556E+06   1.8487948E+07   1.8487936E+07   9.7491097E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.6962626E-05   1.8487912E+07   1.8487912E+07   2.4528357E+07   -9.8494526E+04   -2.6639318E+06   1.8487922E+07   1.8487912E+07   9.7490953E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.9720327E-05   1.8487885E+07   1.8487885E+07   2.4509458E+07   -9.8481525E+04   -2.6633271E+06   1.8487893E+07   1.8487885E+07   9.7490786E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.2683774E-05   1.8487853E+07   1.8487853E+07   2.4487651E+07   -9.8466512E+04   -2.6626290E+06   1.8487859E+07   1.8487853E+07   9.7490593E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.5868318E-05   1.8487817E+07   1.8487817E+07   2.4462491E+07   -9.8449178E+04   -2.6618231E+06   1.8487820E+07   1.8487817E+07   9.7490370E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.9290454E-05   1.8487775E+07   1.8487775E+07   2.4433466E+07   -9.8429163E+04   -2.6608929E+06   1.8487775E+07   1.8487775E+07   9.7490113E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
