#           k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   1.0651351E-05   1.3175739E+06   1.3175739E+06   1.7567170E+06   1.5383507E+04   1.7630727E+03   1.3182084E+06   1.3175739E+06   1.3171359E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1446025E-05   1.3175738E+06   1.3175738E+06   1.7567093E+06   1.5383463E+04   1.7630536E+03   1.3182083E+06   1.3175738E+06   1.3171357E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.2299988E-05   1.3175736E+06   1.3175736E+06   1.7567004E+06   1.5383412E+04   1.7630316E+03   1.3182081E+06   1.3175736E+06   1.3171355E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3217664E-05   1.3175734E+06   1.3175734E+06   1.7566902E+06   1.5383354E+04   1.7630061E+03   1.3182078E+06   1.3175734E+06   1.3171353E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4203805E-05   1.3175731E+06   1.3175731E+06   1.7566783E+06   1.5383286E+04   1.7629768E+03   1.3182075E+06   1.3175731E+06   1.3171350E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.5263520E-05   1.3175728E+06   1.3175728E+06   1.7566647E+06   1.5383208E+04   1.7629428E+03   1.3182072E+06   1.3175728E+06   1.3171346E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.6402298E-05   1.3175725E+06   1.3175725E+06   1.7566489E+06   1.5383118E+04   1.7629037E+03   1.3182068E+06   1.3175725E+06   1.3171343E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.7626038E-05   1.3175721E+06   1.3175721E+06   1.7566306E+06   1.5383013E+04   1.7628584E+03   1.3182064E+06   1.3175721E+06   1.3171338E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.8941078E-05   1.3175717E+06   1.3175717E+06   1.7566096E+06   1.5382893E+04   1.7628062E+03   1.3182059E+06   1.3175717E+06   1.3171333E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.0354231E-05   1.3175712E+06   1.3175712E+06   1.7565853E+06   1.5382754E+04   1.7627458E+03   1.3182053E+06   1.3175712E+06   1.3171328E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.1872816E-05   1.3175706E+06   1.3175706E+06   1.7565572E+06   1.5382593E+04   1.7626762E+03   1.3182047E+06   1.3175706E+06   1.3171321E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.3504699E-05   1.3175699E+06   1.3175699E+06   1.7565248E+06   1.5382408E+04   1.7625957E+03   1.3182039E+06   1.3175699E+06   1.3171313E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.5258334E-05   1.3175691E+06   1.3175691E+06   1.7564874E+06   1.5382194E+04   1.7625028E+03   1.3182030E+06   1.3175691E+06   1.3171304E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.7142803E-05   1.3175682E+06   1.3175682E+06   1.7564442E+06   1.5381947E+04   1.7623956E+03   1.3182020E+06   1.3175682E+06   1.3171294E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.9167869E-05   1.3175672E+06   1.3175672E+06   1.7563943E+06   1.5381661E+04   1.7622717E+03   1.3182008E+06   1.3175672E+06   1.3171282E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.1344020E-05   1.3175660E+06   1.3175660E+06   1.7563366E+06   1.5381332E+04   1.7621287E+03   1.3181994E+06   1.3175660E+06   1.3171269E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.3682529E-05   1.3175646E+06   1.3175646E+06   1.7562701E+06   1.5380951E+04   1.7619635E+03   1.3181978E+06   1.3175646E+06   1.3171253E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.6195510E-05   1.3175630E+06   1.3175630E+06   1.7561932E+06   1.5380511E+04   1.7617728E+03   1.3181960E+06   1.3175630E+06   1.3171235E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.8895978E-05   1.3175611E+06   1.3175611E+06   1.7561045E+06   1.5380004E+04   1.7615526E+03   1.3181939E+06   1.3175611E+06   1.3171214E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
