#           k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   1.0306296E-05   2.4277014E+06   2.4277014E+06   3.2367449E+06   1.1731238E+04   1.4906095E+04   2.4280019E+06   2.4277014E+06   2.4218054E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1075227E-05   2.4277010E+06   2.4277010E+06   3.2367150E+06   1.1731170E+04   1.4905955E+04   2.4280015E+06   2.4277010E+06   2.4218050E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1901526E-05   2.4277007E+06   2.4277007E+06   3.2366805E+06   1.1731093E+04   1.4905794E+04   2.4280011E+06   2.4277007E+06   2.4218046E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.2789472E-05   2.4277002E+06   2.4277002E+06   3.2366406E+06   1.1731003E+04   1.4905609E+04   2.4280006E+06   2.4277002E+06   2.4218041E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3743667E-05   2.4276997E+06   2.4276997E+06   3.2365946E+06   1.1730900E+04   1.4905394E+04   2.4280000E+06   2.4276997E+06   2.4218035E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4769052E-05   2.4276991E+06   2.4276991E+06   3.2365415E+06   1.1730780E+04   1.4905146E+04   2.4279994E+06   2.4276991E+06   2.4218029E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.5870939E-05   2.4276984E+06   2.4276984E+06   3.2364801E+06   1.1730642E+04   1.4904860E+04   2.4279986E+06   2.4276984E+06   2.4218021E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.7055036E-05   2.4276977E+06   2.4276977E+06   3.2364092E+06   1.1730483E+04   1.4904530E+04   2.4279978E+06   2.4276977E+06   2.4218013E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.8327475E-05   2.4276968E+06   2.4276968E+06   3.2363274E+06   1.1730299E+04   1.4904148E+04   2.4279968E+06   2.4276968E+06   2.4218003E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.9694848E-05   2.4276957E+06   2.4276957E+06   3.2362329E+06   1.1730086E+04   1.4903708E+04   2.4279956E+06   2.4276957E+06   2.4217991E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.1164238E-05   2.4276945E+06   2.4276945E+06   3.2361238E+06   1.1729841E+04   1.4903199E+04   2.4279943E+06   2.4276945E+06   2.4217978E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.2743256E-05   2.4276931E+06   2.4276931E+06   3.2359978E+06   1.1729558E+04   1.4902612E+04   2.4279927E+06   2.4276931E+06   2.4217962E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.4440081E-05   2.4276915E+06   2.4276915E+06   3.2358523E+06   1.1729230E+04   1.4901934E+04   2.4279909E+06   2.4276915E+06   2.4217945E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.6263502E-05   2.4276897E+06   2.4276897E+06   3.2356843E+06   1.1728853E+04   1.4901151E+04   2.4279889E+06   2.4276897E+06   2.4217924E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.8222965E-05   2.4276875E+06   2.4276875E+06   3.2354902E+06   1.1728416E+04   1.4900246E+04   2.4279865E+06   2.4276875E+06   2.4217900E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.0328619E-05   2.4276851E+06   2.4276851E+06   3.2352662E+06   1.1727912E+04   1.4899202E+04   2.4279837E+06   2.4276851E+06   2.4217873E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.2591371E-05   2.4276822E+06   2.4276822E+06   3.2350075E+06   1.1727331E+04   1.4897997E+04   2.4279806E+06   2.4276822E+06   2.4217841E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.5022943E-05   2.4276789E+06   2.4276789E+06   3.2347088E+06   1.1726659E+04   1.4896605E+04   2.4279769E+06   2.4276789E+06   2.4217805E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.7635928E-05   2.4276751E+06   2.4276751E+06   3.2343639E+06   1.1725883E+04   1.4894998E+04   2.4279727E+06   2.4276751E+06   2.4217763E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.0443863E-05   2.4276707E+06   2.4276707E+06   3.2339656E+06   1.1724988E+04   1.4893143E+04   2.4279678E+06   2.4276707E+06   2.4217714E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.3461292E-05   2.4276656E+06   2.4276656E+06   3.2335058E+06   1.1723953E+04   1.4891001E+04   2.4279622E+06   2.4276656E+06   2.4217658E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.6703845E-05   2.4276598E+06   2.4276598E+06   3.2329749E+06   1.1722759E+04   1.4888528E+04   2.4279557E+06   2.4276598E+06   2.4217593E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.0188317E-05   2.4276530E+06   2.4276530E+06   3.2323619E+06   1.1721380E+04   1.4885673E+04   2.4279481E+06   2.4276530E+06   2.4217518E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.3932758E-05   2.4276452E+06   2.4276452E+06   3.2316541E+06   1.1719788E+04   1.4882377E+04   2.4279395E+06   2.4276452E+06   2.4217431E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.7956564E-05   2.4276362E+06   2.4276362E+06   3.2308370E+06   1.1717950E+04   1.4878573E+04   2.4279294E+06   2.4276362E+06   2.4217331E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   6.2280578E-05   2.4276257E+06   2.4276257E+06   3.2298936E+06   1.1715828E+04   1.4874182E+04   2.4279179E+06   2.4276257E+06   2.4217216E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   6.6927196E-05   2.4276137E+06   2.4276137E+06   3.2288045E+06   1.1713377E+04   1.4869114E+04   2.4279045E+06   2.4276137E+06   2.4217082E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   7.1920489E-05   2.4275998E+06   2.4275998E+06   3.2275473E+06   1.1710549E+04   1.4863266E+04   2.4278891E+06   2.4275998E+06   2.4216928E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   7.7286321E-05   2.4275838E+06   2.4275838E+06   3.2260961E+06   1.1707283E+04   1.4856517E+04   2.4278712E+06   2.4275838E+06   2.4216751E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   8.3052485E-05   2.4275653E+06   2.4275653E+06   3.2244209E+06   1.1703513E+04   1.4848730E+04   2.4278507E+06   2.4275653E+06   2.4216545E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   8.9248851E-05   2.4275439E+06   2.4275439E+06   3.2224876E+06   1.1699161E+04   1.4839747E+04   2.4278269E+06   2.4275439E+06   2.4216309E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   9.5907514E-05   2.4275192E+06   2.4275192E+06   3.2202563E+06   1.1694138E+04   1.4829384E+04   2.4277995E+06   2.4275192E+06   2.4216035E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.0306296E-04   2.4274907E+06   2.4274907E+06   3.2176814E+06   1.1688340E+04   1.4817433E+04   2.4277678E+06   2.4274907E+06   2.4215719E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1075227E-04   2.4274578E+06   2.4274578E+06   3.2147104E+06   1.1681648E+04   1.4803654E+04   2.4277313E+06   2.4274578E+06   2.4215354E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1901526E-04   2.4274198E+06   2.4274198E+06   3.2112827E+06   1.1673926E+04   1.4787768E+04   2.4276891E+06   2.4274198E+06   2.4214933E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.2789472E-04   2.4273759E+06   2.4273759E+06   3.2073287E+06   1.1665016E+04   1.4769461E+04   2.4276403E+06   2.4273759E+06   2.4214447E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
